URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/que/egr/d/look-for-pe-inspector/6531184374.html,"Look for PE, Inspector, Engineer & Internship",,"Due to increase of work, an Engineering company is looking for 

1) NYS PE to perform special inspections
2) Inspector with certificates (ICC, ACI, etc)
3) Structural engineer 
4) Structural engineering interns 

Work can be part-time or full-time.",Per interview and discussion,employee's choice
https://newyork.craigslist.org/mnh/egr/d/job-captain-architectural/6528192338.html,Job Captain/ Architectural Designer,NYC,"We are an award winning architectural firm located near Penn Station. Our NYC office is looking for a project professional to work on a large commercial interior project in Revit.  Qualified candidates will have a minimum of a Bachelor of Architecture from an accredited program, proficiency in Revit and the ability (and past experience) to complete a full set of construction documents using Revit.  The right candidate will have worked on large corporate office spaces from design development through construction administration.  This position is immediately available and will start a 2 month contract with the possibility of full time employment after successful completion of the initial contract length.  All qualified applicants should respond with an updated word resume and work samples (smaller than 4mb).",Based on experience between 50k-80k,contract
https://newyork.craigslist.org/mnh/egr/d/project-intake-coordinator/6527901254.html,Project Intake Coordinator,Midtown East,"A WBE Interior Finish supply company is looking for a qualified and experienced candidate to help assist manage projects throughout the stages of material sourcing, procurement, design consultation, and material installation. This position will serve as the main liaison between our clients and the factories and vendors we work with.

Our typical projects include hotels, high rise residential towers, and apartment complexes. We work with developers and architects to source high quality and unique finishes from global sources.

Project Intake Coordinator responsibilities:
•	Bidding, planning, execution and closing of any project brought to the company.
•	Determination and implementation of clients' needs based on knowledge of the firm, project description and scope of work
•	Providing a Material Take-off to identify and quantify all the materials that are required to accomplish the design/project.
•	Prepare in a timely fashion the definitive cost estimates based on the design package and take off of the project scope by itemizing it into line items with measured quantities.
•	Providing and/or reviewing Quality Reports as required per project to uncover defects and allowing or denying product release.
•	Familiarizing yourself with all products and specifications that the company provides.
•	Analyzing, monitoring, and preparing estimates, submittal packages, closeout documents, material requisitions, written correspondence, etc
•	Provide weekly update to Director of Operations pertaining to project functions
•	Excellent communication, multi-tasking, attention to detail and able to work in a fast paced construction office setting.

KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:
Strong computer skills, including but not limited to MS Office, Photoshop, AutoCAD, and On-Screen Takeoff - a PLUS
Excellent relationship building skills.

EDUCATION AND OR EXPERIENCE
Education Requirements: Associates Degree or Higher.
Experience: Minimum of 2 years of experience in interior design, architecture, or a purchasing role

-Room for Growth!  Hard work pays off.  Looking for immediate hire and full time.  Please send resume and cover letter to email link attached.",TBD,full-time
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6528200507.html,Construction Project Manager - Remote,Remote,"Are you looking to satisfy your hunger for success while satisfying our guests' craving for outstanding
food and service? Barteca Restaurant Group creates restaurants where great food and attentive service
are fun, stylish and accessible.

Position​ ​Description
Join Barteca Restaurant Group and its now 30 restaurants in 12 states (and growing) as our new
Construction PM and work remotely! Reporting to the VP of Construction and Development, the PM acts
as liaison between Barteca and vendors as it pertains to construction. This person will insure contractors
and vendors are in compliance with company policies and procedures, as well as code of ethics.
Furthermore, the PM will manage the day to day needs on site with the GC to ensure all parties have
adequate information, documents and details to ensure projects are on time and under budget. The ideal
candidate will be able to adapt to changes in assigned work priorities and follow up to ensure all tasks are
completed. Organization and multitasking abilities as well as Construction background in full service
restaurants a must.

Key Activities/Responsibilities
● Assist in value engineering the processes and methods used in constructing our locations
● Review and provide input into construction budgets for assigned projects
● Assist in tracking all invoices, commitments and projections by location against approved budgets
● Assist in creating and review all GC contracts, applications for payment, change orders and
manage all RFI's from the field
● Interact and coordinate with corporate staff, construction professionals and all vendors to provide
feedback in order to constantly improve the construction documents
● Insure contractors and vendors are in compliance with company policies and procedures, and
code of ethics
● Develop timelines and overlapping schedules to allow for projects to stay on schedule based on
the agreed scope of work
● Assist in soliciting proposals from vendors and contractors, review against company standards
and submit for approval
● Manage the day to day needs on site with the General Contractor to ensure all parties have
adequate information, documents and details to ensure projects are on time and under budget.
● Provide and input budget cost estimates
● Assist in developing and managing RFPs for professional services and owner provided vendors
● Develop and manage systems to standardize our build-outs (Builder's Book)
● Develop and manage CD logs, SK logs and Procurement Logs
● Oversee and direct construction projects from conception to completion
● Review the project in-depth to schedule deliverables and estimate costs
● Oversee all onsite and offsite constructions to monitor compliance with building and safety
regulation
● Ensure that contractors are meeting their contractual conditions of performance
● Review the work progress on site on weekly basis
● Record job progress with photos
● Prepare internal and external reports pertaining to job status
● Work proactively and plan ahead to prevent problems and resolve any emerging ones
● Negotiate terms of agreements, draft contracts and obtain permits and licenses
● Analyze, manage and mitigate risks
● Ensure quality construction standards and the use of proper construction techniques

Education​, Experience and Skillset
● Proficiency in Microsoft Office incl Excel and Schedule, Procore, Google Apps
● Ability to manage multiple new restaurant and remodel projects at one time
● Must be self-motivated, meet deadlines, and have the ability to work well with our team
● Strong communication and organization skills
● Ability to plan and see the ""big picture""
● Competent in conflict and crisis management
● Leadership and human resources management skills
● Excellent time and project management skills
● Ability to travel 70% of the time
● Minimum of 10 years of experience with construction projects, schedules, and supervising
vendors and/or trades desired
● Restaurant general contractor or restaurant construction background needed
● A Bachelor's Degree in construction management, architecture, engineering or related field or a
total of 15 years of related experience
● Advanced knowledge of construction management processes, means and methods
● Expert knowledge of building products, construction details and relevant rules, regulations and
quality standards",BOE + Benefits + Paid time off,full-time
https://newyork.craigslist.org/lgi/egr/d/scheduler/6527843941.html,Scheduler,"Westbury, LI","Westbury LI based construction company with annual revenue of 50 million and specializing in work in NYC - on public works projects, (DDC, DPR, SCA, NYCHA ect.) has a position for a Scheduler. Preferred Candidates must have an Civil Engineering degree and knowledge of Scheduling with P6. This position is for an energetic well spoken person who will report directly to the principles and senior staff. Applicant must have a minimum of 3 years of experience and be able to take a bid and or a schedule from start to finish.",From 60 to 75k depending on experience with full benefits,full-time
https://newyork.craigslist.org/que/egr/d/autocad-drafter-required/6528223423.html,AutoCAD drafter required,,"Hello there! 

We're a small architectural/engineering firm based in Flushing, Queens and we're looking for a part-time AutoCAD drafter. We can work around your schedule and we are offering $15 per hour. 

Please send your resume and a sample drawing you've completed recently.

Proficiency in Mandarin and/or Cantonese is recommended.",$15 per hour,part-time
https://newyork.craigslist.org/brk/egr/d/assistant-construction/6528890372.html,Assistant Construction Project Manager,,"Assist PM directly onsite - at least 1 year of construction experience is needed.

We are looking for an individual who is eager to learn, motivated and a go-getter. Please reply with your resume and let us know why you would be a good fit for this job! 

Responsibilities and Duties:

Track and document and alert the PM to changes to project scope
Generate and track RFI's, submittals, updated drawings, sketches etc.
Update PM and Site Super on scheduling, deliveries, lead times, dependencies and all specification and plan changes as they occur
Schedule deliveries with suppliers via company office
Weekly Timeline update for PM
Implement site safety program along with PM
Keep detailed daily logs of work performed along with delivery log
Labor management and time tracking of crews, daily sign in for crew
Create, coordinate and manage photo log of projects week to week

Qualifications and Skills:

Clear communication
Concrete and masonry experience desired
Highly organized
Problem-solving
On-time
Excellent Microsoft Excel, Word, Adobe Acrobat and Outlook
Excels in team environment
Able to understand construction drawings

Job Type: Full-time",Competitive,full-time
https://newyork.craigslist.org/brk/egr/d/entry-level-drafting-design/6528929292.html,"Entry Level - Drafting, Design, 3D Modeling (Rhino)",Greenpoint,"Bolt Design Group is a fast paced design firm with an exciting range of projects in the Hospitality & Event Space Sector. We are seeking a 3D Modeler & Drafter to develop design concepts for projects across New York City and the Greater United States.

We are looking for someone that has some experience and knowledge in the execution and production of drawings for presentation to clients, construction documentation, as well as shop drawings for furniture and lighting production. You will be interfacing with the principal on a daily basis and are expected to demonstrate a strong grasp of aesthetic elements, the overall design, and the practical considerations of production and documentation of all phases of a complete design project.

Required skills:

1 - Deep knowledge of Rhino 3D software
2 - Ability to manage multiple projects and a capacity to anticipate lead times to meet deadlines
3 - Focused attention to detail
4 - Familiarity with industrial and manufacturing process
5 - Knowledge of interior materials and vendors

Required software:

1 - Rhino
2 - Adobe Suite
3 - Maxwell, Vray, or any comparable rendering software.


BoltDesign.nyc",Compensation based on Experience,full-time
https://newyork.craigslist.org/lgi/egr/d/field-estimator-assistant/6529037011.html,Field Estimator/ Assistant Project Estimator : Flooring,Commack,"We are a Long Island based flooring contractor. We supply and installf hardwood flooring, resilient flooring,  carpet, ceramic tile and stone. 
Our primary customer focus involves new residential and commercial construction.  Additionally we have  a strong property management division. 

We seek to train an astute person as a field estimator/Assistant Project Estimator. 

In this position you will taught to: 
- Provide accurate field measurements and job site assessment.
- Work on-site to layout and establish quantities for future work.
- Estimate and layout projects working from blueprints or field measurements. 
- Assess job readiness for flooring instaltion
- Estimate jobs using state of the art estimating software.
- Read blueprints, and project specifications.
- Understand job complexity and requirements for working with a variety of flooring materials.

Having a vehicle is essential, the company will compensate for fuel expenses.
Excellent verbal/written communication skills, strong organization abilities and Microsoft Office proficiency are essential. 

This is an extraordinary for the right person opportunity to learn construction estimating and project management..

Please send cover letter explaining why you are qualified for this position and resume","$29,000- $35,000, commensurate with experience. Benefit package includes full health benefits (with an option for dental), strong retirement benefits (401k and profit sharing).",full-time
https://newyork.craigslist.org/mnh/egr/d/seeking-freelance-draftsman/6527959324.html,Seeking freelance draftsman for CAD and Elevation Drawings,Long Island City,"We are a residential interior design and build firm located in LIC Queens, seeking a freelance draftsman for CAD and elevation drawings.

Out projects are primarily located in Manhattan and Brooklyn - must be able to travel to project site.

Please email resumes only.",Per Project,contract
