URL,Title,Address
https://newyork.craigslist.org/que/egr/d/look-for-pe-inspector/6531184374.html,"Look for PE, Inspector, Engineer & Internship",
https://newyork.craigslist.org/mnh/egr/d/carpenter-job-title/6531154568.html,Carpenter job title,Midtown
https://newyork.craigslist.org/wch/egr/d/cad-cam-operator/6531118725.html,CAD / CAM Operator,Hillburn
https://newyork.craigslist.org/lgi/egr/d/full-time-structural-engineer/6530717897.html,Full-Time Structural Engineer,Valley Stream
https://newyork.craigslist.org/mnh/egr/d/professional-arch-viz/6530451220.html,Professional Arch Viz Rendering and 3D Modeling,Chelsea
https://newyork.craigslist.org/mnh/egr/d/architect-field-representative/6530407089.html,Architect field representative,Flatiron
https://newyork.craigslist.org/mnh/egr/d/survey-field-researcher/6530351741.html,Survey Field Researcher,Manhattan
https://newyork.craigslist.org/que/egr/d/junior-architect/6529717086.html,JUNIOR ARCHITECT,NEW YORK
https://newyork.craigslist.org/brk/egr/d/draftperson/6529599345.html,Draftperson,"Brooklyn, NY"
https://newyork.craigslist.org/brk/egr/d/junior-engineer-structural/6529547827.html,Junior Engineer (Structural),Brooklyn
https://newyork.craigslist.org/brk/egr/d/project-manager-brooklyn/6529495100.html,Project Manager - Brooklyn,Brooklyn NY
https://newyork.craigslist.org/mnh/egr/d/trainee-project-manager/6529398678.html,Trainee Project Manager,Chelsea
https://newyork.craigslist.org/mnh/egr/d/junior-architect-designer/6529303228.html,Junior Architect Designer,Midtown
https://newyork.craigslist.org/brk/egr/d/architectural-intern/6529287569.html,Architectural Intern,Brooklyn
https://newyork.craigslist.org/brk/egr/d/high-skill-fabricator/6529098350.html,High skill fabricator/Installer/Scenic,LIC
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6529050068.html,Intermediate Architect,Financial District
https://newyork.craigslist.org/lgi/egr/d/field-estimator-assistant/6529037011.html,Field Estimator/ Assistant Project Estimator : Flooring,Commack
https://newyork.craigslist.org/mnh/egr/d/architect/6529026415.html,Architect,SoHo
https://newyork.craigslist.org/brk/egr/d/entry-level-drafting-design/6528929292.html,"Entry Level - Drafting, Design, 3D Modeling (Rhino)",Greenpoint
https://newyork.craigslist.org/brk/egr/d/assistant-construction/6528890372.html,Assistant Construction Project Manager,
https://newyork.craigslist.org/que/egr/d/autocad-drafter-required/6528223423.html,AutoCAD drafter required,
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6528200507.html,Construction Project Manager - Remote,Remote
https://newyork.craigslist.org/mnh/egr/d/job-captain-architectural/6528192338.html,Job Captain/ Architectural Designer,NYC
https://newyork.craigslist.org/mnh/egr/d/healthcare-interior-designer/6528141444.html,Healthcare Interior Designer,Chinatown / Lit Italy
https://newyork.craigslist.org/mnh/egr/d/retail-architect/6528135414.html,Retail Architect,Midtown
https://newyork.craigslist.org/mnh/egr/d/seeking-freelance-draftsman/6527959324.html,Seeking freelance draftsman for CAD and Elevation Drawings,Long Island City
https://newyork.craigslist.org/wch/egr/d/cad-draftsperson-estimator/6527929547.html,CAD Draftsperson/Estimator,Elmsford
https://newyork.craigslist.org/que/egr/d/estimator-asst-project-manager/6527911560.html,Estimator/Asst. Project Manager,Maspeth
https://newyork.craigslist.org/mnh/egr/d/project-intake-coordinator/6527901254.html,Project Intake Coordinator,Midtown East
https://newyork.craigslist.org/lgi/egr/d/scheduler/6527843941.html,Scheduler,"Westbury, LI"
https://newyork.craigslist.org/mnh/egr/d/job-captain-project-architect/6527799710.html,Job Captain / Project Architect,Lower East Side
https://newyork.craigslist.org/que/egr/d/electrical-cad-drafstman/6527781411.html,ELECTRICAL CAD DRAFSTMAN,RICHMOND HILL
https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6527718568.html,Procurement Project Manager with Design/Architecture background needed,Midtown East
https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/6527715864.html,Junior Architectural Designer | Office Interiors,Midtown
https://newyork.craigslist.org/lgi/egr/d/kitchen-cabinet-design-sales/6527704687.html,Kitchen Cabinet Design / Sales,Nassau County
https://newyork.craigslist.org/lgi/egr/d/land-surveyor-party-chief-or/6527652630.html,land surveyor - party chief or field assistant,"Westbury, NY"
https://newyork.craigslist.org/mnh/egr/d/pt-ft-paid-internship-high/6527636839.html,"PT/FT Paid Internship - High End, Bespoke Architecture",TriBeCa
https://newyork.craigslist.org/mnh/egr/d/interior-designer-architect/6527616031.html,Interior Designer/Architect for Design Build firm (Financial District),Financial District
https://newyork.craigslist.org/mnh/egr/d/construction-operations/6527612263.html,Construction Operations Manager,
https://newyork.craigslist.org/que/egr/d/junior-architectural-designer/6526845209.html,Junior Architectural Designer,Sunnyside
https://newyork.craigslist.org/mnh/egr/d/job-captain/6526643935.html,JOB CAPTAIN,Midtown
https://newyork.craigslist.org/mnh/egr/d/bim-specialist-revit-cad/6526632706.html,BIM Specialist Revit/CAD,Midtown
https://newyork.craigslist.org/brk/egr/d/autocad-drafter-and/6525759309.html,Autocad Drafter and Construction manager,New York
https://newyork.craigslist.org/mnh/egr/d/architectural-project-manager/6524869490.html,Architectural Project Manager - 6-10 years,Chelsea
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6524867569.html,Facade / Building Envelope Engineer or Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6524866561.html,Exterior Restoration / Recent Graduate,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6524865339.html,Facade / Building Envelope Project Architect or Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6524852149.html,Intermediate Architect,SoHo
https://newyork.craigslist.org/que/egr/d/auto-cad-design-cad-custom/6524811255.html,AUTO CAD/DESIGN CAD - CUSTOM WINDOW MANUFACTURER,long island city
https://newyork.craigslist.org/mnh/egr/d/plan-review-manager/6524672427.html,Plan Review Manager,New York
https://newyork.craigslist.org/mnh/egr/d/expediting-code-zoning-team/6524628245.html,EXPEDITING/CODE & ZONING TEAM ASSOCIATE,
https://newyork.craigslist.org/mnh/egr/d/draftsperson/6524623281.html,DRAFTSPERSON,
https://newyork.craigslist.org/que/egr/d/project-architect/6524581193.html,Project Architect / Professional Engineer (Full Time),Sheepshead Bay
https://newyork.craigslist.org/lgi/egr/d/architectural-draftsperson-to/6524573792.html,Architectural Draftsperson to Project Manager,"Huntington Station, LI"
https://newyork.craigslist.org/mnh/egr/d/kitchen-designer-acad/6524542749.html,Kitchen Designer (ACAD),Manhattan
https://newyork.craigslist.org/que/egr/d/cad-drafters-for-structural/6524460414.html,CAD Drafters for Structural Engineering Firm,LIC
https://newyork.craigslist.org/mnh/egr/d/commissioning-engineer/6524392344.html,Commissioning Engineer,Midtown
https://newyork.craigslist.org/brk/egr/d/construction-superintendent/6524383432.html,construction superintendent & project manager,nyc areas
https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-senior/6524378856.html,"Mechanical Engineer, Senior",Midtown
https://newyork.craigslist.org/mnh/egr/d/mechanical-design-engineer/6524375537.html,Mechanical Design Engineer,Midtown
https://newyork.craigslist.org/mnh/egr/d/construction-manager-energy/6524345704.html,Construction Manager (Energy Retrofit Projects),Midtown
https://newyork.craigslist.org/mnh/egr/d/energy-engineer-senior/6524319241.html,"Energy Engineer, Senior",Midtown
https://newyork.craigslist.org/mnh/egr/d/energy-engineer-senior/6524301714.html,"Energy Engineer, Senior",Battery Park
https://newyork.craigslist.org/mnh/egr/d/office-financial-coordinator/6524254675.html,Office & Financial Coordinator needed for high-end design studio,Chelsea
https://newyork.craigslist.org/mnh/egr/d/freelance-mep-engineer/6524162450.html,Freelance MEP Engineer,Midtown
https://newyork.craigslist.org/mnh/egr/d/sr-jr-auto-cad-drafter/6524154680.html,SR & JR AUTO CAD DRAFTER 建筑师事务所,FLUSHING
https://newyork.craigslist.org/brk/egr/d/autocad-operator/6523805629.html,AutoCAD Operator,"Greenpoint, Brooklyn"
https://newyork.craigslist.org/brk/egr/d/interior-designer-drafter/6523608062.html,Interior Designer / drafter,Brooklyn
https://newyork.craigslist.org/fct/egr/d/designer-architecture-firm/6523421331.html,Designer-Architecture Firm,Fairfield County
https://newyork.craigslist.org/mnh/egr/d/nyc-diamond-district/6523150040.html,NYC DIAMOND DISTRICT (Marketing Team NEEDED),Midtown
https://newyork.craigslist.org/mnh/egr/d/revit-modeler-cad-drafter/6523096970.html,REVIT MODELER/CAD Drafter & Administrative,Midtown West
https://newyork.craigslist.org/brk/egr/d/drafting-site-surveying/6523077131.html,Drafting - site surveying,
https://newyork.craigslist.org/brk/egr/d/class-2-filing-rep-for-nyc/6523074869.html,Class 2 Filing rep. For NYC dept. Of buildings,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/chief-engineer-needed-asap/6523021151.html,CHIEF ENGINEER NEEDED - ASAP,BROOKLYN
https://newyork.craigslist.org/brk/egr/d/full-time-structural-engineer/6522977057.html,Full-Time Structural Engineer,
https://newyork.craigslist.org/mnh/egr/d/plumbing-engineer/6522912825.html,PLUMBING ENGINEER,Upper West Side
https://newyork.craigslist.org/mnh/egr/d/interior-designer/6522701289.html,Interior Designer,
https://newyork.craigslist.org/brk/egr/d/installation/6522583081.html,"Installation Coordinator,Assistant Project Manager and Estimators",Brooklyn
https://newyork.craigslist.org/brk/egr/d/solidworks-project/6522533023.html,SOLIDWORKS PROJECT DRAFTSPERSON @ DESIGN & FABRICATION SHOP,GREENPOINT
https://newyork.craigslist.org/brk/egr/d/registered-architect/6522223041.html,Registered Architect,
https://newyork.craigslist.org/mnh/egr/d/clean-energy-engagement/6522194534.html,CLEAN ENERGY ENGAGEMENT SPECIALIST,Midtown
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6522122093.html,Construction Project Manager - Remote,Remote
https://newyork.craigslist.org/que/egr/d/project-manager/6522112261.html,Project Manager,Ridgewood
https://newyork.craigslist.org/mnh/egr/d/entry-architect-needed/6522106755.html,Entry Architect needed Midtown NYC,Midtown
https://newyork.craigslist.org/mnh/egr/d/architect-needed-midtown-nyc/6522103814.html,Architect needed Midtown NYC,Midtown
https://newyork.craigslist.org/brk/egr/d/junior-architect-draftsman/6522102844.html,Junior Architect / Draftsman,Brooklyn
https://newyork.craigslist.org/que/egr/d/project-architect/6522062618.html,Project Architect / Professional Engineer (Full Time),Sheepshead Bay
https://newyork.craigslist.org/brk/egr/d/solidworks-project/6522027925.html,SOLIDWORKS PROJECT DRAFTSPERSON @ DESIGN & FABRICATION SHOP,GREENPOINT
https://newyork.craigslist.org/brk/egr/d/residential-decorator/6521952107.html,Residential Decorator/Interior Designer,
https://newyork.craigslist.org/wch/egr/d/architect/6521854038.html,Architect,Dobbs Ferry
https://newyork.craigslist.org/brk/egr/d/fabrication-drafter/6521826405.html,Fabrication Drafter,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/junior-architect-designer/6521765417.html,Junior Architect Designer,Midtown
